,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
New Zealand,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,
UK,,,TRUE,,,,TRUE,,,,TRUE,,,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,,,,
Portugal,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,
Spain,,TRUE,,,,TRUE,,,,FALSE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,
Poland,,,TRUE,,,,TRUE,,,,FALSE,,TRUE,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,
USA,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,FALSE,,,,TRUE,,,,,
Australia,,TRUE,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,TRUE,,,
Czechia,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,FALSE,,,TRUE,,,,TRUE,,,,FALSE,,,,
Norway,,,FALSE,,,,FALSE,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,TRUE,,,,
France,,,FALSE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,FALSE,,,
Sweden,,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,TRUE,,,,TRUE,,,,FALSE,,,
Canada,,,TRUE,,,TRUE,,,,TRUE,,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,FALSE,,FALSE,,,,
Germany,,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,TRUE,,,,
Ireland,,,TRUE,,,,,FALSE,,,,,TRUE,,,,TRUE,,,,,TRUE,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
