country,year,Voter turnout (highest score=1),Freedom of Religion (highest score=1),Urban population (% of total population),ethnicity_ratio,economic_stability_index,political_social_index
Australia,1990,0.82,0.98,85.433,0.84,-0.052234755930371586,0.313882588015779
Australia,1991,0.82,0.98,85.403,0.84,-3.7531740836675493,0.3141078100078595
Australia,1992,0.82,0.98,85.285,0.84,-2.800049432146155,0.31433303199994067
Australia,1993,0.84,0.98,85.157,0.84,1.014131277394964,0.3171615800294368
Australia,1994,0.84,0.98,85.028,0.84,0.8734923766766084,0.3171615800294368
Australia,1995,0.84,0.98,84.898,0.84,0.623006327898904,0.319009890181828
Australia,1996,0.83,0.98,84.767,0.84,0.5011999704600858,0.32073310386454584
Australia,1997,0.83,0.98,84.636,0.84,0.6852675694487914,0.32018579228960836
Australia,1998,0.82,0.98,84.503,0.84,1.515628618159687,0.32163435286483993
Australia,1999,0.82,0.98,84.37,0.84,1.77534709135403,0.32246210206208986
Australia,2000,0.82,0.98,84.235,0.84,0.6293649584975013,0.32383512445479606
Australia,2001,0.84,0.98,84.1,0.84,-1.3860570251956017,0.3277258021143596
Australia,2002,0.84,0.98,84.222,0.84,0.6939597110466771,0.32608604712512473
Australia,2003,0.84,0.98,84.343,0.84,-0.19783567705652622,0.330600839953784
Australia,2004,0.83,0.98,84.463,0.84,1.0063247097227073,0.3292958324696921
Australia,2005,0.83,0.98,84.582,0.84,-0.20349063060777647,0.3272227918796448
Australia,2006,0.83,0.98,84.7,0.84,-0.7315735711409702,0.32349627602326914
Australia,2007,0.83,0.98,84.822,0.84,-0.21284800467029513,0.3441484854475773
Australia,2008,0.83,0.81,84.943,0.84,-0.5784332281794391,0.34984366277236506
Australia,2009,0.83,0.98,85.063,0.84,-2.295315079826975,0.3521010591866946
Australia,2010,0.81,0.98,85.182,0.84,-1.4610454850835026,0.3594903635810837
Australia,2011,0.81,0.98,85.3,0.84,-1.1137344525307629,0.35978470058815737
Australia,2012,0.81,1.0,85.402,0.84,0.010379593121593646,0.3608565840686843
Australia,2013,0.79,1.0,85.502,0.84,-1.2542428502343812,0.30065287755628023
Australia,2014,0.79,1.0,85.602,0.84,-1.0212429517440738,0.2969450091884431
Australia,2015,0.79,1.0,85.701,0.84,-1.368102299874423,0.2868142964948718
Australia,2016,0.79,1.0,85.8,0.84,-0.9232863286364883,0.2954642747238836
