,country,range,Voter turnout (highest score=1),Freedom of Religion (highest score=1),Urban population (% of total population),ethnicity_ratio,economic_stability_index,political_social_index,change,year
0,Australia,1990.0-1996.0,0.83,0.9799999999999999,85.13871428571429,0.84,-0.5133754741876447,0.3166270834469752,True,1996.0
1,Australia,1996.0-1998.0,0.825,0.98,84.5695,0.84,1.1004480938042391,0.3209100725772241,False,1998.0
2,Australia,1998.0-2001.0,0.8266666666666667,0.98,84.235,0.84,0.33955167488530985,0.3246743428770818,False,2001.0
3,Australia,2001.0-2004.0,0.8366666666666666,0.98,84.34266666666666,0.84,0.500816247904286,0.3286609065162002,False,2004.0
4,Australia,2004.0-2007.0,0.83,0.98,84.70133333333332,0.84,-0.38263740213968056,0.33162251778349705,True,2007.0
5,Australia,2007.0-2010.0,0.8233333333333333,0.9233333333333333,85.06266666666666,0.84,-1.4449312643633057,0.3538116951800478,False,2010.0
6,Australia,2010.0-2013.0,0.8033333333333333,0.9933333333333333,85.40133333333334,0.84,-0.7858659032145168,0.3404313874043739,True,2013.0
7,Australia,2013.0-2016.0,0.79,1.0,85.70100000000001,0.84,-1.1042105267516618,0.2930745268023995,False,2016.0
8,Australia,2016.0-2019.0,0.7966666666666667,0.9266666666666667,86.01333333333332,0.84,-1.206763960312011,0.2470051993348299,False,2019.0
9,Australia,2019.0-2022.0,0.7933333333333333,1.0,86.36366666666667,0.84,-0.9771892167684256,0.2114817049254911,True,2022.0
10,Austria,1990.0-1994.0,0.78,0.9800000000000001,62.416,0.93,-0.3788261407926156,0.14288926352476555,False,1994.0
11,Austria,1994.0-1995.0,0.79,0.98,61.596,0.93,0.4013487287143929,0.1496896633660729,False,1995.0
12,Austria,1995.0-1999.0,0.7475,0.8825,60.906,0.93,0.6434987084219731,0.15588729325832498,False,1999.0
13,Austria,1999.0-2002.0,0.7433333333333333,0.85,59.934,0.93,-0.38945893570831297,0.1703501458933929,True,2002.0
14,Austria,2002.0-2006.0,0.7050000000000001,0.85,58.9535,0.93,-0.3486053708807947,0.17864023349865438,True,2006.0
15,Austria,2006.0-2008.0,0.745,0.915,58.1075,0.93,0.1579215170894791,0.2039264023118867,False,2008.0
16,Austria,2008.0-2013.0,0.5660000000000001,0.9259999999999999,57.336,0.93,-2.1470556112838546,0.2073184676049336,False,2013.0
17,Austria,2013.0-2017.0,0.6625,0.905,57.81,0.93,-1.5573030166123134,0.19035531115932908,True,2017.0
18,Austria,2017.0-2019.0,0.665,0.72,58.406,0.93,-0.6455810048758421,0.14013057364790682,False,2019.0
19,Belgium,1990.0-1995.0,0.85,0.9583333333333334,96.57983333333334,0.59,-0.5867703535470968,0.25927917753152346,False,1995.0
20,Belgium,1995.0-1999.0,0.83,0.9475,96.959,0.59,0.3195141646793364,0.28320440803890085,True,1999.0
21,Belgium,1999.0-2003.0,0.8374999999999999,0.915,97.21300000000001,0.59,-0.588161886362573,0.28907516877865497,False,2003.0
22,Belgium,2003.0-2007.0,0.86,0.8825,97.428,0.59,0.3106324999101843,0.29182344402339216,True,2007.0
23,Belgium,2007.0-2010.0,0.8566666666666666,0.9199999999999999,97.603,0.59,-2.5165029489596384,0.30392961029143023,False,2010.0
24,Belgium,2010.0-2014.0,0.855,0.7675,97.76599999999999,0.59,-1.7066637817843613,0.30143851401445654,False,2014.0
25,Belgium,2014.0-2019.0,0.852,0.734,97.9596,0.59,-0.8183424184192802,0.27424337369532564,False,2019.0
26,Canada,1990.0-1997.0,0.64,0.98,77.327625,0.59,-1.4215856127800766,0.14367439371682633,False,1997.0
27,Canada,1997.0-2000.0,0.5533333333333333,0.98,79.10166666666667,0.59,1.719805472465991,0.15508632049370438,False,2000.0
28,Canada,2000.0-2004.0,0.5425,0.98,79.92750000000001,0.59,-0.6876599980892764,0.16868329226141282,False,2004.0
29,Canada,2004.0-2006.0,0.565,0.915,80.16749999999999,0.59,-0.1862889459989218,0.17645164678914738,True,2006.0
30,Canada,2006.0-2008.0,0.5549999999999999,0.98,80.487,0.59,-1.623866455001238,0.1826032735314315,False,2008.0
31,Canada,2008.0-2011.0,0.53,0.98,80.93033333333334,0.59,-2.0873941617983953,0.17244451385650053,False,2011.0
32,Canada,2011.0-2015.0,0.5525,1.0,81.19800000000001,0.59,-1.1962569248098345,0.13644936160963744,True,2015.0
