Year,Country,Gini coefficient,GDP,Conflict,Deaths,Free and fair elections index,Liberal democracy index
1990,Australia,0.43795857,2.0573924,0,0,0.956,0.852
1991,Australia,0.44966656,-1.6435711,0,0,0.956,0.852
1992,Australia,0.44447818,-0.69043666,0,0,0.956,0.852
1993,Australia,0.4511117,3.1237383,0,0,0.958,0.852
1994,Australia,0.4553261,2.9830923,0,0,0.958,0.852
1995,Australia,0.4580794,2.7326014,0,0,0.958,0.852
1996,Australia,0.45617586,2.610798,0,0,0.958,0.85
1997,Australia,0.4545575,2.7948685,0,0,0.957,0.845
1998,Australia,0.46203762,3.6252184,0,0,0.958,0.845
1999,Australia,0.46503964,3.8849323,0,0,0.961,0.845
2000,Australia,0.46767837,2.7389443,0,0,0.961,0.847
2001,Australia,0.46066907,0.7235311,0,0,0.959,0.845
2002,Australia,0.47508192,2.803527,0,0,0.952,0.84
2003,Australia,0.4700889,1.9117386,0,0,0.952,0.84
2004,Australia,0.47448337,3.1158934,0,0,0.953,0.84
2005,Australia,0.48133436,1.9060652,0,0,0.954,0.838
2006,Australia,0.48227942,1.37798,0,0,0.954,0.838
2007,Australia,0.48097658,1.8967084,0,0,0.955,0.84
2008,Australia,0.48761514,1.5311118,0,0,0.964,0.85
2009,Australia,0.4880972,-0.18577315,0,0,0.964,0.85
2010,Australia,0.4865519,0.6485001,0,0,0.973,0.86
2011,Australia,0.4863076,0.995812,0,0,0.977,0.865
2012,Australia,0.48725703,2.119926,0,0,0.977,0.865
2013,Australia,0.48753554,0.8553014,0,0,0.964,0.818
2014,Australia,0.48803058,1.0883008,0,0,0.953,0.81
2015,Australia,0.48932084,0.74143887,0,0,0.953,0.825
2016,Australia,0.483002,1.1862658,0,0,0.96,0.832
2017,Australia,0.487506,0.6474952,0,0,0.967,0.827
2018,Australia,0.4797805,1.3783454,1,2,0.967,0.817
2019,Australia,0.5011269207203908,0.68249094,0,0,0.958,0.78
2020,Australia,0.5030243418070817,-1.5564363,0,0,0.941,0.795
2021,Australia,0.504921762893773,1.9680617,0,0,0.941,0.781
2022,Australia,0.48174992,2.9853964,0,0,0.958,0.8
2023,Australia,0.5087166050671552,2.9416062358129373,0,0,0.963,0.804
1990,Austria,0.48704400967032946,3.5535476,0,0,0.926,0.783
1991,Austria,0.48500828818681274,2.4139864,0,0,0.925,0.784
1992,Austria,0.482972566703296,0.9760922,0,0,0.925,0.784
1993,Austria,0.4809368452197802,-0.29875436,0,0,0.925,0.785
1994,Austria,0.4789011237362635,2.008762,0,0,0.925,0.784
1995,Austria,0.47686540225274676,2.5109127,0,0,0.923,0.779
1996,Austria,0.47482968076923004,2.2114348,0,0,0.929,0.786
1997,Austria,0.4727939592857142,1.977976,0,0,0.929,0.786
1998,Austria,0.4707582378021975,3.46783,0,0,0.928,0.785
1999,Austria,0.4687225163186808,3.3550446,0,0,0.927,0.785
2000,Austria,0.46668679483516495,3.1274366,0,0,0.924,0.787
2001,Austria,0.46465107335164824,0.8802591,0,0,0.924,0.787
2002,Austria,0.4626153518681315,1.1526763,0,0,0.925,0.787
2003,Austria,0.4605796303846148,0.45094654,0,0,0.926,0.787
2004,Austria,0.44233766,2.0997112,0,0,0.928,0.787
2005,Austria,0.45551762,1.5498773,0,0,0.929,0.787
2006,Austria,0.4743343,2.9434178,0,0,0.933,0.79
2007,Austria,0.4561178,3.3917308,0,0,0.943,0.804
2008,Austria,0.4563988,1.1433071,0,0,0.944,0.804
2009,Austria,0.4480193,-4.0163403,0,0,0.946,0.806
2010,Austria,0.45210794,1.5925771,0,0,0.946,0.804
2011,Austria,0.4431315,2.5764482,0,0,0.946,0.806
2012,Austria,0.42545512,0.22245058,0,0,0.946,0.806
2013,Austria,0.42535627,-0.56229895,0,0,0.946,0.808
2014,Austria,0.44320065,-0.12237067,0,0,0.945,0.807
2015,Austria,0.43713838,-0.11154019,0,0,0.945,0.805
2016,Austria,0.4431692,0.89246917,0,0,0.901,0.784
2017,Austria,0.4320795296153843,1.550724,0,0,0.911,0.786
2018,Austria,0.4300438081318676,1.927713,0,0,0.944,0.779
2019,Austria,0.4280080866483509,1.000407,0,0,0.942,0.792
2020,Austria,0.42597236516483505,-7.019826,1,4,0.937,0.789
2021,Austria,0.42393664368131834,3.7847197,0,0,0.937,0.783
2022,Austria,0.438074,3.8089561,0,0,0.937,0.757
2023,Austria,0.4198652007142849,3.716595441514665,0,0,0.936,0.773
1990,Belgium,0.45078522033846147,2.830268,0,0,0.932,0.803
1991,Belgium,0.44180486,1.4553717,0,0,0.933,0.803
1992,Belgium,0.44019526,1.1195658,0,0,0.942,0.81
1993,Belgium,0.44237062,-1.3479997,0,0,0.942,0.81
1994,Belgium,0.44579405,2.9093187,0,0,0.942,0.81
1995,Belgium,0.44443274,2.1705503,0,0,0.943,0.816
1996,Belgium,0.44805685,1.123669,0,0,0.944,0.818
1997,Belgium,0.44787508,3.542789,0,0,0.944,0.818
1998,Belgium,0.45067555,1.7443238,0,0,0.944,0.817
1999,Belgium,0.45339584,3.3057065,0,0,0.944,0.82
2000,Belgium,0.45288178,3.4654527,0,0,0.949,0.822
2001,Belgium,0.44729495,0.7524829,0,0,0.949,0.822
2002,Belgium,0.4421599,1.2519846,0,0,0.949,0.822
2003,Belgium,0.4449905,0.6158798,0,0,0.952,0.824
2004,Belgium,0.44813868,3.123929,0,0,0.954,0.8
2005,Belgium,0.4765439,1.7604556,0,0,0.954,0.819
2006,Belgium,0.46325824,1.8781832,0,0,0.959,0.825
2007,Belgium,0.4459066,2.9183383,0,0,0.967,0.832
2008,Belgium,0.43317986,-0.34345272,0,0,0.974,0.838
2009,Belgium,0.42489848,-2.8059208,0,0,0.974,0.838
2010,Belgium,0.43872264,1.9287642,0,0,0.974,0.836
2011,Belgium,0.42992318,0.38003457,0,0,0.974,0.835
2012,Belgium,0.42878038,0.11640258,0,0,0.974,0.835
2013,Belgium,0.433262,-0.013148386,0,0,0.976,0.842
2014,Belgium,0.43555692,1.1285957,0,0,0.975,0.842
2015,Belgium,0.4370595,1.4518933,0,0,0.975,0.841
2016,Belgium,0.43739444,0.75526893,1,34,0.975,0.84
2017,Belgium,0.43432033,1.2288662,0,0,0.975,0.838
2018,Belgium,0.43595854795555566,1.3306522,1,4,0.975,0.838
2019,Belgium,0.4354290239418803,1.6897537,0,0,0.975,0.839
2020,Belgium,0.4348994999282052,-5.6682234,0,0,0.974,0.825
2021,Belgium,0.43436997591452986,6.412099,0,0,0.976,0.826
2022,Belgium,0.40930387,2.1317658,0,0,0.972,0.834
2023,Belgium,0.4333109278871794,2.1952408061412756,1,2,0.972,0.814
1990,Canada,0.4498096,-1.2964413,0,0,0.914,0.759
1991,Canada,0.4570813,-3.3003001,0,0,0.914,0.759
1992,Canada,0.45932516,-0.2967095,0,0,0.914,0.755
1993,Canada,0.46964413,1.5357457,0,0,0.917,0.755
1994,Canada,0.4713998,3.3558145,0,0,0.931,0.761
1995,Canada,0.47910425,1.6252813,1,24,0.931,0.761
1996,Canada,0.48402417,0.6315309,0,0,0.931,0.769
1997,Canada,0.4902337,3.2489748,0,0,0.925,0.766
1998,Canada,0.4918195,3.0342376,1,27,0.921,0.764
1999,Canada,0.49271291,4.2898364,0,0,0.921,0.764
2000,Canada,0.5016532,4.1639485,0,0,0.922,0.765
2001,Canada,0.49823913,0.77436674,0,0,0.931,0.761
2002,Canada,0.50019324,1.8852601,0,0,0.931,0.754
2003,Canada,0.5030206,0.8928535,0,0,0.931,0.754
2004,Canada,0.5070638,2.134964,0,0,0.93,0.758
2005,Canada,0.5103824,2.2402546,0,0,0.929,0.758
2006,Canada,0.5138935,1.6061782,0,0,0.943,0.765
2007,Canada,0.51389337,1.0636587,0,0,0.944,0.767
2008,Canada,0.507249,-0.092379645,0,0,0.939,0.766
2009,Canada,0.49699602,-4.017257,0,0,0.938,0.765
2010,Canada,0.5020225,1.9509255,0,0,0.938,0.766
2011,Canada,0.50140387,2.1327164,0,0,0.905,0.742
2012,Canada,0.49684063,0.65675765,0,0,0.889,0.737
2013,Canada,0.497511,1.2503396,0,0,0.893,0.746
2014,Canada,0.49464354,1.8444225,0,0,0.888,0.741
2015,Canada,0.49352148,-0.09842322,0,0,0.898,0.745
2016,Canada,0.48261604,-0.09910447,0,0,0.947,0.774
2017,Canada,0.48784274,1.8053057,0,0,0.947,0.777
2018,Canada,0.484474,1.3019651,0,0,0.947,0.773
2019,Canada,0.5141488651526251,0.45534652,0,0,0.95,0.781
2020,Canada,0.5155741464468866,-6.0524735,0,0,0.957,0.761
2021,Canada,0.5169994277411476,4.6828523,0,0,0.955,0.766
2022,Canada,0.49672955,1.9439995,0,0,0.948,0.759
2023,Canada,0.5198499903296705,1.887994869721552,0,0,0.948,0.755
1990,Chile,0.7144195812383901,1.6743186,0,0,0.884,0.635
1991,Chile,0.7152121475851393,6.062941,0,0,0.884,0.751
1992,Chile,0.7160047139318887,9.389369,0,0,0.884,0.751
1993,Chile,0.7167972802786379,4.9434037,0,0,0.888,0.75
1994,Chile,0.717589846625387,3.4611907,0,0,0.952,0.789
1995,Chile,0.7183824129721362,7.3758383,0,0,0.952,0.789
1996,Chile,0.7191749793188854,5.3510075,0,0,0.952,0.789
1997,Chile,0.7199675456656348,5.9863267,0,0,0.952,0.789
1998,Chile,0.720760112012384,2.878669,0,0,0.953,0.789
1999,Chile,0.7215526783591332,-1.4542556,0,0,0.953,0.786
2000,Chile,0.7223452447058824,3.772357,0,0,0.955,0.815
2001,Chile,0.7172893,2.0099366,0,0,0.954,0.815
2002,Chile,0.71236724,2.0861106,0,0,0.951,0.813
2003,Chile,0.70742595,3.6315665,0,0,0.951,0.813
2004,Chile,0.7175464,5.61634,0,0,0.951,0.813
2005,Chile,0.72725606,4.807518,0,0,0.952,0.823
2006,Chile,0.7365793,5.015991,0,0,0.969,0.836
2007,Chile,0.73665786,4.142002,0,0,0.969,0.839
2008,Chile,0.7367391,2.755801,0,0,0.969,0.839
2009,Chile,0.7368414,-2.1283007,0,0,0.969,0.84
2010,Chile,0.74421376,4.788943,0,0,0.971,0.841
2011,Chile,0.7514696,5.176037,0,0,0.971,0.842
2012,Chile,0.74270487,5.125738,0,0,0.97,0.844
2013,Chile,0.73383456,2.3164,0,0,0.969,0.853
2014,Chile,0.7324609,0.7729278,0,0,0.963,0.849
2015,Chile,0.7310707,1.1057584,0,0,0.969,0.844
2016,Chile,0.7277864,0.55029786,0,0,0.969,0.844
2017,Chile,0.7244782,-0.21326645,0,0,0.969,0.851
2018,Chile,0.72102165,2.1390781,0,0,0.965,0.81
2019,Chile,0.717512,-1.0455058,0,0,0.968,0.767
2020,Chile,0.7381965716408668,-7.413627,0,0,0.968,0.765
2021,Chile,0.7389891379876162,10.631881,0,0,0.967,0.782
2022,Chile,0.7139481,1.8627235,0,0,0.957,0.783
2023,Chile,0.7405742706811146,2.060670761784151,0,0,0.956,0.786
1990,Colombia,0.7511654124389402,2.1123984,1,692,0.563,0.323
1991,Colombia,0.7485441272996214,-0.056151386,1,834,0.601,0.396
1992,Colombia,0.7459228421603026,2.0019522,1,1479,0.587,0.43
1993,Colombia,0.7433015570209838,3.3282368,1,267,0.587,0.43
1994,Colombia,0.740680271881665,3.7738671,1,1155,0.579,0.431
1995,Colombia,0.7380589867423462,3.2293053,1,922,0.586,0.433
1996,Colombia,0.7354377016030273,0.21025282,1,1379,0.586,0.431
1997,Colombia,0.7328164164637085,1.6015035,1,801,0.586,0.432
1998,Colombia,0.7301951313243888,-1.15955,1,1595,0.574,0.425
