,Australia,Denmark,Norway,Belgium,France,New Zealand,Sweden,Switzerland,Canada,Finland,Austria,Germany,Iceland,Luxembourg,Ireland,Netherlands,United Kingdom,Italy,Japan,Israel,Malta,Greece,Portugal,Spain,Turkey,Czech Republic,Hungary,Latvia,Romania,Slovakia,Slovenia,Poland,Cyprus,Lithuania,Bulgaria,Croatia,Estonia,USA,Costa_Rica,Columbia,Czechia,Chile,Mexico
1900,,,False,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1901,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,False,False,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1905,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,False,False,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,False,,False,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
1909,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,True,True,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1913,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,True,,,False,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,True,,,,,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,,True,True,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,False,,,True,True,False,,False,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
