year,coa,coo,totalrefugees,ccode_coo,ccode_coa,minimal_distance,groupname1,gwgroupid1,groupname2,gwgroupid2,groupname3,gwgroupid3,sources,quote,groupshare1_num,groupshare2_num,groupshare3_num,group1share_multiplier,group2share_multiplier,group3share_multiplier,group1_size,group2_size,group3_size
1988,United States,Cuba,3863,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their deifferences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,3476.7,193.15,193.15
1989,United States,Cuba,7668,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,6901.2,383.4,383.4
1990,United States,Cuba,12450,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,11205,622.5,622.5
1991,United States,Cuba,16317,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,14685.3,815.85,815.85
1992,United States,Cuba,19934,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,17940.6,996.7,996.7
1993,United States,Cuba,20276,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,18248.4,1013.8,1013.8
1994,United States,Cuba,19550,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,17595,977.5,977.5
1995,United States,Cuba,21519,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,19367.1,1075.95,1075.95
1996,United States,Cuba,21865,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,19678.5,1093.25,1093.25
1997,United States,Cuba,21308,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,19177.2,1065.4,1065.4
1998,United States,Cuba,19890,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Data from the 1990 census shows that 86.3 percen ot the immigrant were White Cubans, 0.2 percent were Black Cubans, 0.3 percent were Asians and 13.2 percent designated themselves as beloinging to other race. In Cuba, as in the rest of the Carib",dominant,minority,minority,0.9,0.05,0.05,17901,994.5,994.5
1999,United States,Cuba,19177,40,2,204724,Whites,4001000,Mulattoes,,Blacks,4002000,http://www.ascecuba.org/publications/proceedings/volume5/pdfs/FILE26.pdf,"Though Cuba has always been a multi-racial society, despite their differences, prior to Mariel both major waves of Cuban immigrants were predominatly White",dominant,minority,minority,0.9,0.05,0.05,17259.3,958.85,958.85
