country,year,group,size
Netherlands,1990,Dutch,0.95
Netherlands,1991,Dutch,0.95
Netherlands,1992,Dutch,0.95
Netherlands,1993,Dutch,0.95
Netherlands,1994,Dutch,0.95
Netherlands,1995,Dutch,0.95
Netherlands,1996,Dutch,0.95
Netherlands,1997,Dutch,0.95
Netherlands,1998,Dutch,0.95
Netherlands,1999,Dutch,0.95
Netherlands,2000,Dutch,0.95
Netherlands,2001,Dutch,0.95
Netherlands,2002,Dutch,0.95
Netherlands,2003,Dutch,0.95
Netherlands,2004,Dutch,0.95
Netherlands,2005,Dutch,0.95
Netherlands,2006,Dutch,0.95
Netherlands,2007,Dutch,0.95
Netherlands,2008,Dutch,0.95
Netherlands,2009,Dutch,0.95
Netherlands,2010,Dutch,0.95
Netherlands,2011,Dutch,0.95
Netherlands,2012,Dutch,0.95
Netherlands,2013,Dutch,0.95
Netherlands,2014,Dutch,0.95
Netherlands,2015,Dutch,0.95
Netherlands,2016,Dutch,0.95
Netherlands,2017,Dutch,0.95
Netherlands,2018,Dutch,0.95
Netherlands,2019,Dutch,0.95
Netherlands,2020,Dutch,0.95
Netherlands,2021,Dutch,0.95
United States,1990,Whites,0.691
United States,1991,Whites,0.691
United States,1992,Whites,0.691
United States,1993,Whites,0.691
United States,1994,Whites,0.691
United States,1995,Whites,0.691
United States,1996,Whites,0.691
United States,1997,Whites,0.691
United States,1998,Whites,0.691
United States,1999,Whites,0.691
United States,2000,Whites,0.691
United States,2001,Whites,0.691
United States,2002,Whites,0.691
United States,2003,Whites,0.691
United States,2004,Whites,0.691
United States,2005,Whites,0.691
United States,2006,Whites,0.691
United States,2007,Whites,0.691
United States,2008,Whites,0.691
United States,2009,Whites,0.66
United States,2010,Whites,0.66
United States,2011,Whites,0.66
United States,2012,Whites,0.66
United States,2013,Whites,0.66
United States,2014,Whites,0.66
United States,2015,Whites,0.66
United States,2016,Whites,0.66
United States,2017,Whites,0.66
United States,2018,Whites,0.6
United States,2019,Whites,0.6
United States,2020,Whites,0.6
United States,2021,Whites,0.6
Estonia,1990,N/A,0.0
Estonia,1991,Estonians,0.679
Estonia,1992,Estonians,0.679
Estonia,1993,Estonians,0.679
Estonia,1994,Estonians,0.679
Estonia,1995,Estonians,0.679
Estonia,1996,Estonians,0.679
Estonia,1997,Estonians,0.679
Estonia,1998,Estonians,0.679
Estonia,1999,Estonians,0.679
Estonia,2000,Estonians,0.679
Estonia,2001,Estonians,0.679
Estonia,2002,Estonians,0.679
Estonia,2003,Estonians,0.679
Estonia,2004,Estonians,0.679
Estonia,2005,Estonians,0.679
Estonia,2006,Estonians,0.679
Estonia,2007,Estonians,0.679
Estonia,2008,Estonians,0.679
Estonia,2009,Estonians,0.679
Estonia,2010,Estonians,0.679
Estonia,2011,Estonians,0.679
Estonia,2012,Estonians,0.679
Estonia,2013,Estonians,0.679
Estonia,2014,Estonians,0.679
Estonia,2015,Estonians,0.679
Estonia,2016,Estonians,0.679
Estonia,2017,Estonians,0.679
Estonia,2018,Estonians,0.679
Estonia,2019,Estonians,0.679
Estonia,2020,Estonians,0.679
Estonia,2021,Estonians,0.679
France,1990,French,0.976
France,1991,French,0.976
France,1992,French,0.976
France,1993,French,0.976
France,1994,French,0.976
France,1995,French,0.976
France,1996,French,0.976
France,1997,French,0.976
France,1998,French,0.976
France,1999,French,0.976
France,2000,French,0.976
France,2001,French,0.976
France,2002,French,0.976
France,2003,French,0.976
France,2004,French,0.976
France,2005,French,0.976
France,2006,French,0.976
France,2007,French,0.976
France,2008,French,0.976
France,2009,French,0.976
France,2010,French,0.976
France,2011,French,0.976
France,2012,French,0.976
France,2013,French,0.976
France,2014,French,0.976
France,2015,French,0.976
France,2016,French,0.976
France,2017,French,0.976
France,2018,French,0.976
France,2019,French,0.976
France,2020,French,0.976
France,2021,French,0.976
Colombia,1990,Whites/mestizos,0.73
Colombia,1991,Whites/mestizos,0.73
Colombia,1992,Whites/mestizos,0.71
Colombia,1993,Whites/mestizos,0.71
Colombia,1994,Whites/mestizos,0.71
Colombia,1995,Whites/mestizos,0.71
Colombia,1996,Whites/mestizos,0.71
Colombia,1997,Whites/mestizos,0.71
Colombia,1998,Whites/mestizos,0.71
Colombia,1999,Whites/mestizos,0.71
Colombia,2000,Whites/mestizos,0.71
Colombia,2001,Whites/mestizos,0.71
Colombia,2002,Whites/mestizos,0.71
Colombia,2003,Whites/mestizos,0.71
Colombia,2004,Whites/mestizos,0.71
Colombia,2005,Whites/mestizos,0.71
Colombia,2006,Whites/mestizos,0.71
Colombia,2007,Whites/mestizos,0.71
Colombia,2008,Whites/mestizos,0.71
Colombia,2009,Whites/mestizos,0.71
Colombia,2010,Whites/mestizos,0.71
Colombia,2011,Whites/mestizos,0.71
Colombia,2012,Whites/mestizos,0.71
Colombia,2013,Whites/mestizos,0.71
Colombia,2014,Whites/mestizos,0.71
Colombia,2015,Whites/mestizos,0.71
Colombia,2016,Whites/mestizos,0.71
Colombia,2017,Whites/mestizos,0.71
Colombia,2018,Whites/mestizos,0.71
Colombia,2019,Whites/mestizos,0.71
Colombia,2020,Whites/mestizos,0.71
Colombia,2021,Whites/mestizos,0.71
United Kingdom,1990,English,0.815
United Kingdom,1991,English,0.815
United Kingdom,1992,English,0.815
United Kingdom,1993,English,0.815
United Kingdom,1994,English,0.815
United Kingdom,1995,English,0.815
United Kingdom,1996,English,0.815
United Kingdom,1997,English,0.815
United Kingdom,1998,English,0.815
United Kingdom,1999,English,0.815
United Kingdom,2000,English,0.815
United Kingdom,2001,English,0.815
United Kingdom,2002,English,0.815
United Kingdom,2003,English,0.815
United Kingdom,2004,English,0.815
United Kingdom,2005,English,0.815
United Kingdom,2006,English,0.815
United Kingdom,2007,English,0.815
United Kingdom,2008,English,0.815
United Kingdom,2009,English,0.815
United Kingdom,2010,English,0.815
United Kingdom,2011,English,0.815
United Kingdom,2012,English,0.815
United Kingdom,2013,English,0.815
United Kingdom,2014,English,0.815
United Kingdom,2015,English,0.815
United Kingdom,2016,English,0.815
United Kingdom,2017,English,0.815
United Kingdom,2018,English,0.815
United Kingdom,2019,English,0.815
United Kingdom,2020,English,0.815
United Kingdom,2021,English,0.815
Austria,1990,Austrians,0.93
Austria,1991,Austrians,0.93
Austria,1992,Austrians,0.93
Austria,1993,Austrians,0.93
Austria,1994,Austrians,0.93
Austria,1995,Austrians,0.93
Austria,1996,Austrians,0.93
Austria,1997,Austrians,0.93
Austria,1998,Austrians,0.93
Austria,1999,Austrians,0.93
Austria,2000,Austrians,0.93
Austria,2001,Austrians,0.93
Austria,2002,Austrians,0.93
Austria,2003,Austrians,0.93
Austria,2004,Austrians,0.93
Austria,2005,Austrians,0.93
Austria,2006,Austrians,0.93
Austria,2007,Austrians,0.93
Austria,2008,Austrians,0.93
Austria,2009,Austrians,0.93
Austria,2010,Austrians,0.93
Austria,2011,Austrians,0.93
Austria,2012,Austrians,0.93
Austria,2013,Austrians,0.93
Austria,2014,Austrians,0.93
Austria,2015,Austrians,0.93
Austria,2016,Austrians,0.93
Austria,2017,Austrians,0.93
Austria,2018,Austrians,0.93
Austria,2019,Austrians,0.93
Austria,2020,Austrians,0.93
Austria,2021,Austrians,0.93
Czechia,1990,N/A,0.0
Czechia,1991,N/A,0.0
Czechia,1992,N/A,0.0
Czechia,1993,N/A,0.0
Czechia,1994,N/A,0.0
Czechia,1995,N/A,0.0
Czechia,1996,N/A,0.0
Czechia,1997,N/A,0.0
Czechia,1998,N/A,0.0
Czechia,1999,N/A,0.0
Czechia,2000,N/A,0.0
Czechia,2001,N/A,0.0
Czechia,2002,N/A,0.0
Czechia,2003,N/A,0.0
Czechia,2004,N/A,0.0
Czechia,2005,N/A,0.0
Czechia,2006,N/A,0.0
Czechia,2007,N/A,0.0
Czechia,2008,N/A,0.0
