,country,year,Effective Parliament (highest score=1),Election free and fair (highest score=1),Election government intimidation (highest score=1),Voter turnout (highest score=1),Fair trial (highest score=1),Judicial Independence (highest score=1),Predictable Enforcement (highest score=1),Freedom of Religion (highest score=1),Free Political Parties (highest score=1),Harassment of journalists (highest score=1),Media bias (highest score=1),Media freedom (highest score=1),Freedom of the Press (highest score=1),Gender Equality (highest score=1),Educational equality (highest score=1),Health equality (highest score=1),Infant mortality rate (highest score=1),Life expectancy (highest score=1),Mean years of schooling (highest score=1),Human Development Index,Urban population (% of total population),Gini coefficient,GDP,Conflict,Deaths,Free and fair elections index,Liberal democracy index,totalrefugees,ethnicity_ratio
0,Australia,1990,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.864,85.433,0.43795857,2.0573924,0,0,0.956,0.852,0.0,0.84
1,Australia,1991,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.866,85.403,0.44966656,-1.6435711,0,0,0.956,0.852,0.0,0.84
2,Australia,1992,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.868,85.285,0.44447818,-0.69043666,0,0,0.956,0.852,0.0,0.84
3,Australia,1993,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.4,0.873,85.157,0.4511117,3.1237383,0,0,0.958,0.852,0.0,0.84
4,Australia,1994,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.4,0.873,85.028,0.4553261,2.9830923,0,0,0.958,0.852,0.0,0.84
5,Australia,1995,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.41,0.882,84.898,0.4580794,2.7326014,0,0,0.958,0.852,0.0,0.84
6,Australia,1996,0.85,0.82,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.91,0.41,0.884,84.767,0.45617586,2.610798,0,0,0.958,0.85,0.0,0.84
7,Australia,1997,0.85,0.82,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.41,0.887,84.636,0.4545575,2.7948685,0,0,0.957,0.845,0.0,0.84
8,Australia,1998,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.42,0.891,84.503,0.46203762,3.6252184,0,0,0.958,0.845,0.0,0.84
9,Australia,1999,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.42,0.894,84.37,0.46503964,3.8849323,0,0,0.961,0.845,0.0,0.84
10,Australia,2000,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.93,0.42,0.896,84.235,0.46767837,2.7389443,0,0,0.961,0.847,0.0,0.84
11,Australia,2001,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.93,0.43,0.9,84.1,0.46066907,0.7235311,0,0,0.959,0.845,0.0,0.84
12,Australia,2002,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.94,0.43,0.902,84.222,0.47508192,2.803527,0,0,0.952,0.84,0.0,0.84
13,Australia,2003,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.94,0.43,0.906,84.343,0.4700889,1.9117386,0,0,0.952,0.84,0.0,0.84
14,Australia,2004,0.85,0.81,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.94,0.44,0.908,84.463,0.47448337,3.1158934,0,0,0.953,0.84,0.0,0.84
15,Australia,2005,0.85,0.81,0.85,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.95,0.44,0.911,84.582,0.48133436,1.9060652,0,0,0.954,0.838,0.0,0.84
16,Australia,2006,0.85,0.81,0.85,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.95,0.44,0.914,84.7,0.48227942,1.37798,0,0,0.954,0.838,0.0,0.84
17,Australia,2007,0.85,0.88,0.9,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.95,0.45,0.916,84.822,0.48097658,1.8967084,0,0,0.955,0.84,0.0,0.84
18,Australia,2008,0.85,0.88,0.9,0.83,1.0,1.0,0.89,0.81,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.99,0.96,0.45,0.92,84.943,0.48761514,1.5311118,0,0,0.964,0.85,0.0,0.84
