country,year,value
Australia,1990,0.864
Australia,1991,0.866
Australia,1992,0.868
Australia,1993,0.873
Australia,1994,0.873
Australia,1995,0.882
Australia,1996,0.884
Australia,1997,0.887
Australia,1998,0.891
Australia,1999,0.894
Australia,2000,0.896
Australia,2001,0.9
Australia,2002,0.902
Australia,2003,0.906
Australia,2004,0.908
Australia,2005,0.911
Australia,2006,0.914
Australia,2007,0.916
Australia,2008,0.92
Australia,2009,0.922
Australia,2010,0.924
Australia,2011,0.927
Australia,2012,0.931
Australia,2013,0.929
Australia,2014,0.931
Australia,2015,0.933
Australia,2016,0.936
Australia,2017,0.937
Australia,2018,0.9410000000000001
Australia,2019,0.9410000000000001
Australia,2020,0.9480000000000001
Australia,2021,0.9490000000000001
Australia,2022,0.9460000000000001
Austria,1990,0.8230000000000001
Austria,1991,0.8260000000000001
Austria,1992,0.8320000000000001
Austria,1993,0.836
Austria,1994,0.841
Austria,1995,0.847
Austria,1996,0.852
Austria,1997,0.856
Austria,1998,0.861
Austria,1999,0.865
Austria,2000,0.87
Austria,2001,0.874
Austria,2002,0.878
Austria,2003,0.88
Austria,2004,0.886
Austria,2005,0.889
Austria,2006,0.893
Austria,2007,0.896
Austria,2008,0.899
Austria,2009,0.898
Austria,2010,0.903
Austria,2011,0.907
Austria,2012,0.909
Austria,2013,0.907
Austria,2014,0.911
Austria,2015,0.91
Austria,2016,0.913
Austria,2017,0.914
Austria,2018,0.917
Austria,2019,0.92
Austria,2020,0.916
Austria,2021,0.92
Austria,2022,0.926
Belgium,1990,0.8140000000000001
Belgium,1991,0.8180000000000001
Belgium,1992,0.835
Belgium,1993,0.849
Belgium,1994,0.857
Belgium,1995,0.864
Belgium,1996,0.87
Belgium,1997,0.874
Belgium,1998,0.876
Belgium,1999,0.879
Belgium,2000,0.884
Belgium,2001,0.889
Belgium,2002,0.891
Belgium,2003,0.893
Belgium,2004,0.899
Belgium,2005,0.901
Belgium,2006,0.904
Belgium,2007,0.907
Belgium,2008,0.909
Belgium,2009,0.91
Belgium,2010,0.913
Belgium,2011,0.914
Belgium,2012,0.915
Belgium,2013,0.917
Belgium,2014,0.922
Belgium,2015,0.924
Belgium,2016,0.927
Belgium,2017,0.931
Belgium,2018,0.933
Belgium,2019,0.936
Belgium,2020,0.93
Belgium,2021,0.9380000000000001
Belgium,2022,0.9420000000000001
Canada,1990,0.861
Canada,1991,0.865
Canada,1992,0.869
Canada,1993,0.867
Canada,1994,0.873
Canada,1995,0.877
Canada,1996,0.88
Canada,1997,0.88
Canada,1998,0.88
Canada,1999,0.884
Canada,2000,0.89
Canada,2001,0.893
Canada,2002,0.895
Canada,2003,0.897
Canada,2004,0.901
Canada,2005,0.903
Canada,2006,0.907
Canada,2007,0.907
Canada,2008,0.909
Canada,2009,0.91
Canada,2010,0.911
Canada,2011,0.914
Canada,2012,0.921
Canada,2013,0.923
Canada,2014,0.925
Canada,2015,0.927
Canada,2016,0.928
Canada,2017,0.929
Canada,2018,0.93
Canada,2019,0.932
Canada,2020,0.928
Canada,2021,0.934
Canada,2022,0.935
Switzerland,1990,0.85
Switzerland,1991,0.852
Switzerland,1992,0.855
Switzerland,1993,0.859
Switzerland,1994,0.861
Switzerland,1995,0.863
Switzerland,1996,0.867
Switzerland,1997,0.872
Switzerland,1998,0.878
Switzerland,1999,0.881
Switzerland,2000,0.885
Switzerland,2001,0.888
Switzerland,2002,0.888
Switzerland,2003,0.893
Switzerland,2004,0.898
Switzerland,2005,0.903
Switzerland,2006,0.913
Switzerland,2007,0.92
Switzerland,2008,0.926
Switzerland,2009,0.935
Switzerland,2010,0.9400000000000001
Switzerland,2011,0.9400000000000001
Switzerland,2012,0.9430000000000001
Switzerland,2013,0.9470000000000001
Switzerland,2014,0.9510000000000001
Switzerland,2015,0.9520000000000001
Switzerland,2016,0.9540000000000001
Switzerland,2017,0.9550000000000001
Switzerland,2018,0.9570000000000001
Switzerland,2019,0.96
Switzerland,2020,0.9570000000000001
Switzerland,2021,0.965
Switzerland,2022,0.967
Chile,1990,0.705
Chile,1991,0.714
Chile,1992,0.722
Chile,1993,0.716
Chile,1994,0.722
Chile,1995,0.728
Chile,1996,0.735
Chile,1997,0.744
Chile,1998,0.749
Chile,1999,0.756
Chile,2000,0.763
Chile,2001,0.767
Chile,2002,0.775
Chile,2003,0.78
Chile,2004,0.787
Chile,2005,0.795
Chile,2006,0.796
Chile,2007,0.801
Chile,2008,0.812
Chile,2009,0.811
