,country,year,Effective Parliament (highest score=1),Election free and fair (highest score=1),Election government intimidation (highest score=1),Voter turnout (highest score=1),Fair trial (highest score=1),Judicial Independence (highest score=1),Predictable Enforcement (highest score=1),Freedom of Religion (highest score=1),Free Political Parties (highest score=1),Harassment of journalists (highest score=1),Media bias (highest score=1),Media freedom (highest score=1),Freedom of the Press (highest score=1),Gender Equality (highest score=1),Educational equality (highest score=1),Health equality (highest score=1),Infant mortality rate (highest score=1),Life expectancy (highest score=1),Mean years of schooling (highest score=1),Human Development Index
0,Australia,1990,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.864
1,Australia,1991,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.866
2,Australia,1992,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.97,0.9,0.39,0.868
3,Australia,1993,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.4,0.873
4,Australia,1994,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.4,0.873
5,Australia,1995,0.85,0.82,0.85,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.78,0.8,0.88,0.98,0.91,0.41,0.882
6,Australia,1996,0.85,0.82,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.91,0.41,0.884
7,Australia,1997,0.85,0.82,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.41,0.887
8,Australia,1998,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.42,0.891
9,Australia,1999,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.92,0.42,0.894
10,Australia,2000,0.85,0.82,0.85,0.82,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.79,0.8,0.88,0.98,0.93,0.42,0.896
11,Australia,2001,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.93,0.43,0.9
12,Australia,2002,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.94,0.43,0.902
13,Australia,2003,0.85,0.82,0.86,0.84,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.94,0.43,0.906
14,Australia,2004,0.85,0.81,0.85,0.83,1.0,1.0,0.9,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.94,0.44,0.908
15,Australia,2005,0.85,0.81,0.85,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.95,0.44,0.911
16,Australia,2006,0.85,0.81,0.85,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.8,0.8,0.88,0.98,0.95,0.44,0.914
17,Australia,2007,0.85,0.88,0.9,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.98,0.95,0.45,0.916
18,Australia,2008,0.85,0.88,0.9,0.83,1.0,1.0,0.89,0.81,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.99,0.96,0.45,0.92
19,Australia,2009,0.85,0.88,0.9,0.83,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.83,0.8,0.88,0.99,0.96,0.45,0.922
20,Australia,2010,0.85,0.9,0.9,0.81,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.83,0.8,0.88,0.99,0.96,0.46,0.924
21,Australia,2011,0.85,0.9,0.9,0.81,1.0,1.0,0.89,0.98,0.74,0.75,0.96,1.0,0.84,0.82,0.8,0.88,0.99,0.96,0.46,0.927
22,Australia,2012,0.85,0.9,0.9,0.81,1.0,1.0,0.9,1.0,0.74,0.75,0.96,1.0,0.84,0.81,0.8,0.88,0.99,0.96,0.46,0.931
23,Australia,2013,0.89,0.91,0.89,0.79,1.0,1.0,0.9,1.0,0.74,0.75,0.9,1.0,0.83,0.83,0.73,0.75,0.99,0.97,0.46,0.929
24,Australia,2014,0.89,0.91,0.89,0.79,1.0,1.0,0.9,1.0,0.74,0.75,0.9,1.0,0.83,0.83,0.73,0.75,0.99,0.97,0.46,0.931
25,Australia,2015,0.89,0.91,0.89,0.79,1.0,1.0,0.86,1.0,0.74,0.75,0.9,1.0,0.84,0.83,0.73,0.72,0.99,0.97,0.47,0.933
