Country,Year,Urban population (% of total population)
Australia,1990,85.433
Australia,1991,85.403
Australia,1992,85.285
Australia,1993,85.157
Australia,1994,85.028
Australia,1995,84.898
Australia,1996,84.767
Australia,1997,84.636
Australia,1998,84.503
Australia,1999,84.37
Australia,2000,84.235
Australia,2001,84.1
Australia,2002,84.222
Australia,2003,84.343
Australia,2004,84.463
Australia,2005,84.582
Australia,2006,84.7
Australia,2007,84.822
Australia,2008,84.943
Australia,2009,85.063
Australia,2010,85.182
Australia,2011,85.3
Australia,2012,85.402
Australia,2013,85.502
Australia,2014,85.602
Australia,2015,85.701
Australia,2016,85.8
Australia,2017,85.904
Australia,2018,86.012
Australia,2019,86.124
Australia,2020,86.241
Australia,2021,86.362
Australia,2022,86.488
Australia,2023,86.617
Austria,1990,62.96
Austria,1991,62.689
Austria,1992,62.417
Austria,1993,62.144
Austria,1994,61.87
Austria,1995,61.596
Austria,1996,61.32
Austria,1997,61.045
Austria,1998,60.768
Austria,1999,60.491
Austria,2000,60.213
Austria,2001,59.934
Austria,2002,59.655
Austria,2003,59.375
Austria,2004,59.094
Austria,2005,58.813
Austria,2006,58.532
Austria,2007,58.249
Austria,2008,57.966
Austria,2009,57.683
Austria,2010,57.399
Austria,2011,57.115
Austria,2012,57.147
Austria,2013,57.336
Austria,2014,57.526
Austria,2015,57.715
Austria,2016,57.905
Austria,2017,58.094
Austria,2018,58.297
Austria,2019,58.515
Austria,2020,58.748
Austria,2021,58.995
Austria,2022,59.256
Austria,2023,59.53
Belgium,1990,96.377
Belgium,1991,96.461
Belgium,1992,96.542
Belgium,1993,96.622
Belgium,1994,96.7
Belgium,1995,96.777
Belgium,1996,96.851
Belgium,1997,96.924
Belgium,1998,96.996
Belgium,1999,97.065
Belgium,2000,97.129
Belgium,2001,97.186
Belgium,2002,97.241
Belgium,2003,97.296
Belgium,2004,97.35
Belgium,2005,97.403
Belgium,2006,97.454
Belgium,2007,97.505
Belgium,2008,97.555
Belgium,2009,97.603
Belgium,2010,97.651
Belgium,2011,97.698
Belgium,2012,97.744
Belgium,2013,97.789
Belgium,2014,97.833
Belgium,2015,97.876
Belgium,2016,97.919
Belgium,2017,97.961
Belgium,2018,98.001
Belgium,2019,98.041
Belgium,2020,98.079
Belgium,2021,98.117
Belgium,2022,98.153
Belgium,2023,98.189
Canada,1990,76.582
Canada,1991,76.62
Canada,1992,76.887
Canada,1993,77.152
Canada,1994,77.414
Canada,1995,77.675
Canada,1996,77.951
Canada,1997,78.34
Canada,1998,78.724
Canada,1999,79.103
Canada,2000,79.478
Canada,2001,79.81
Canada,2002,79.888
Canada,2003,79.967
Canada,2004,80.045
Canada,2005,80.122
Canada,2006,80.213
Canada,2007,80.396
Canada,2008,80.578
Canada,2009,80.758
Canada,2010,80.937
Canada,2011,81.096
Canada,2012,81.137
Canada,2013,81.178
Canada,2014,81.218
Canada,2015,81.259
Canada,2016,81.3
Canada,2017,81.35
Canada,2018,81.411
Canada,2019,81.482
Canada,2020,81.562
Canada,2021,81.653
Canada,2022,81.752
Canada,2023,81.862
Chile,1990,83.271
Chile,1991,83.398
Chile,1992,83.564
Chile,1993,83.896
Chile,1994,84.223
Chile,1995,84.545
Chile,1996,84.861
Chile,1997,85.172
Chile,1998,85.477
Chile,1999,85.778
Chile,2000,86.073
Chile,2001,86.363
Chile,2002,86.606
Chile,2003,86.665
Chile,2004,86.725
Chile,2005,86.783
Chile,2006,86.842
Chile,2007,86.9
Chile,2008,86.959
Chile,2009,87.017
Chile,2010,87.074
Chile,2011,87.132
Chile,2012,87.189
Chile,2013,87.246
Chile,2014,87.303
Chile,2015,87.36
Chile,2016,87.422
Chile,2017,87.49
Chile,2018,87.564
Chile,2019,87.643
Chile,2020,87.727
Chile,2021,87.817
Chile,2022,87.912
Chile,2023,88.012
Colombia,1990,69.481
Colombia,1991,69.949
Colombia,1992,70.415
Colombia,1993,70.874
Colombia,1994,71.328
Colombia,1995,71.777
Colombia,1996,72.223
Colombia,1997,72.662
